D & B Used Cars|111 Old Benbrook Rd|817-555-5555
10112|1993|Ford|Explorer|SUV|Red|525123|995.00
37846|2001|Ford|Ranger|truck|Yellow|172544|1995.00
44901|2012|Honda|Civic|SUV|Gray|103221|6995.00
51022|2013|Honda|Civic|SUV|Gray|98200|7495.00
61345|2016|Ford|Explorer|SUV|Blue|78400|16995.00
72345|2018|Toyota|Camry|sedan|White|45200|15895.00
83456|2019|Toyota|Camry|sedan|White|33100|17995.00
91234|2020|Ford|Ranger|truck|Red|31200|24995.00
10458|2017|Honda|Civic|SUV|Black|87200|8995.00
11679|2016|Ford|F-150|truck|Red|90200|19995.00
12399|2015|Toyota|Camry|sedan|Silver|64100|13995.00
13480|2018|Ford|Explorer|SUV|Black|52300|20995.00
14211|2014|Honda|CR-V|SUV|Gray|112000|11995.00
15322|2013|Ford|Ranger|truck|Blue|128000|10995.00
16433|2017|Toyota|RAV4|SUV|White|67900|18995.00
17544|2019|Honda|CR-V|SUV|Gray|44800|18995.00
18655|2020|Ford|F-150|truck|Black|39200|27995.00
19766|2015|Toyota|RAV4|SUV|Silver|78200|15995.00
20877|2018|Honda|CR-V|SUV|Gray|50200|19495.00
21988|2017|Ford|Explorer|SUV|Red|64800|18995.00
23099|2016|Toyota|Camry|sedan|White|71400|14995.00
